"","UNIQUE_CARRIER_NAME","YEAR","MONTH","sum_seats","sum_passengers","sum_distance","sum_airtime","Date","log_passenger","log_seats","log_airtime","log_distance"
"48","AeroLogic GmbH",2015,12,0,0,1744,0,2015-12-01,0,0,0,7.46450983463653
"49","Aeromexico",2015,1,444,302,603,0,2015-01-01,5.71373280550937,6.09807428216624,0,6.40357419793482
"50","Aeromexico",2015,2,160,147,67,0,2015-02-01,4.99721227376411,5.08140436498446,0,4.21950770517611
"51","Aeromexico",2015,4,320,260,281,0,2015-04-01,5.56452040732269,5.77144112313002,0,5.64190707093811
"52","Aeromexico",2015,6,284,174,726,0,2015-06-01,5.16478597392351,5.65248918026865,0,6.58892647753352
"53","Aeromexico",2015,7,506,495,1700,0,2015-07-01,6.20657592672493,6.22851100359118,0,7.43897159239586
"54","Aeromexico",2015,8,604,522,294,0,2015-08-01,6.25958146406492,6.40522845803084,0,5.68697535633982
"55","Aeromexico",2015,9,124,38,192,0,2015-09-01,3.66356164612965,4.8283137373023,0,5.26269018890489
"56","Aeromexico",2015,10,186,158,86,0,2015-10-01,5.06890420222023,5.23110861685459,0,4.46590811865458
"57","Aeromexico",2015,11,160,109,258,0,2015-11-01,4.70048036579242,5.08140436498446,0,5.55682806169954
"58","Aeromexico",2015,12,444,358,415,0,2015-12-01,5.88332238848828,6.09807428216624,0,6.03068526026126
"59","Aerounion Aerotransporte de Carga Union SA de CV",2015,1,0,0,1744,0,2015-01-01,0,0,0,7.46450983463653
"60","Air Alsie A/S",2015,1,42,11,5117,0,2015-01-01,2.484906649788,3.76120011569356,0,8.54051901671973
"61","Air Alsie A/S",2015,3,0,0,1205,0,2015-03-01,0,0,0,7.09506437728713
"62","Air Alsie A/S",2015,4,10,2,458,0,2015-04-01,1.09861228866811,2.39789527279837,0,6.12905021006055
"63","Air Alsie A/S",2015,5,48,6,2431,0,2015-05-01,1.94591014905531,3.89182029811063,0,7.79646924308606
"64","Air Alsie A/S",2015,6,28,12,5760,0,2015-06-01,2.56494935746154,3.36729582998647,0,8.65886634973238
"65","Air Alsie A/S",2015,7,38,14,1528,0,2015-07-01,2.70805020110221,3.66356164612965,0,7.33236920592906
"66","Air Alsie A/S",2015,8,28,3,4326,0,2015-08-01,1.38629436111989,3.36729582998647,0,8.37262974022488
"67","Air Alsie A/S",2015,9,24,6,3610,0,2015-09-01,1.94591014905531,3.2188758248682,0,8.19174002127746
"68","Air Alsie A/S",2015,10,68,19,7494,0,2015-10-01,2.99573227355399,4.23410650459726,0,8.9219914105367
"69","Air Alsie A/S",2015,11,66,12,3078,0,2015-11-01,2.56494935746154,4.20469261939097,0,8.0323601479245
"70","Air Alsie A/S",2015,12,0,0,69,0,2015-12-01,0,0,0,4.24849524204936
"71","Air Atlanta Icelandic",2015,5,0,0,75,0,2015-05-01,0,0,0,4.33073334028633
"72","Air Canada",2015,1,1673,1048,13567,0,2015-01-01,6.9555926083963,7.42297125104942,0,9.51546935803168
"73","Air Canada",2015,2,962,683,7198,0,2015-02-01,6.52795791762255,6.87005341179813,0,8.8816974064693
"74","Air Canada",2015,3,1542,1067,13428,0,2015-03-01,6.97354301952014,7.34148385236316,0,9.50517182658118
"75","Air Canada",2015,4,468,330,4331,0,2015-04-01,5.80211837537706,6.15060276844628,0,8.37378460812088
"76","Air Canada",2015,5,116,105,2154,0,2015-05-01,4.66343909411207,4.76217393479776,0,7.67554600253785
"77","Air Canada",2015,6,314,230,251,0,2015-06-01,5.44241771052179,5.75257263882563,0,5.52942908751142
"78","Air Canada",2015,7,1235,941,10567,0,2015-07-01,6.84800527457636,7.11963563801764,0,9.26558584620216
"79","Air Canada",2015,8,266,103,3634,0,2015-08-01,4.64439089914137,5.58724865840025,0,8.19836438996762
"80","Air Canada",2015,9,438,211,1126,0,2015-09-01,5.35658627467201,6.08449941307517,0,7.02731451403978
"81","Air Canada",2015,10,1162,854,10383,0,2015-10-01,6.75110146893676,7.05875815251866,0,9.24802143894387
"82","Air Canada",2015,11,2397,1473,19082,0,2015-11-01,7.29573507274928,7.78239033558746,0,9.85655316534691
"83","Air Canada",2015,12,2912,2212,23832,0,2015-12-01,7.70210434005105,7.97693875695943,0,10.0788264539022
"84","Air Canada rouge LP",2015,2,416,399,883,0,2015-02-01,5.99146454710798,6.0330862217988,0,6.78445706263764
"85","Air Canada rouge LP",2015,4,280,262,192,0,2015-04-01,5.57215403217776,5.63835466933375,0,5.26269018890489
"86","Air Canada rouge LP",2015,8,400,255,1706,0,2015-08-01,5.54517744447956,5.99396142730657,0,7.44249272279444
"87","Air Canada rouge LP",2015,9,136,124,368,0,2015-09-01,4.8283137373023,4.91998092582813,0,5.91079664404053
"88","Air Canada rouge LP",2015,10,136,95,345,0,2015-10-01,4.56434819146784,4.91998092582813,0,5.84643877505772
"89","Air Canada rouge LP",2015,11,136,132,109,0,2015-11-01,4.89034912822175,4.91998092582813,0,4.70048036579242
"90","Air Canada rouge LP",2015,12,136,131,328,0,2015-12-01,4.88280192258637,4.91998092582813,0,5.79605775076537
"91","Air Charter, Inc d/b/a Air Flamenco",2015,1,9981,5652,1111,20408,2015-01-01,8.63994165667529,9.20853875002955,9.92373125901317,7.01391547481053
"92","Air Charter, Inc d/b/a Air Flamenco",2015,2,9270,5245,1400,19510,2015-02-01,8.56522116042682,9.13464652760698,9.8787336880699,7.24494154633701
"93","Air Charter, Inc d/b/a Air Flamenco",2015,3,35225,7052,1180,23522,2015-03-01,8.86120833720818,10.4695397252922,10.065733944899,7.07411681619736
"94","Air Charter, Inc d/b/a Air Flamenco",2015,4,9927,5491,1230,20430,2015-04-01,8.61104776688786,9.20311432688444,9.92480863423981,7.11558212618445
"95","Air Charter, Inc d/b/a Air Flamenco",2015,5,9009,4606,979,17653,2015-05-01,8.43533216493592,9.10609035060238,9.77871766558018,6.88755257166462
"96","Air Charter, Inc d/b/a Air Flamenco",2015,6,9477,5232,972,15467,2015-06-01,8.56274000637221,9.15672860252753,9.64652865272719,6.880384082186
"97","Air Charter, Inc d/b/a Air Flamenco",2015,7,15102,8471,942,21288,2015-07-01,9.04452188728124,9.62264867856634,9.96594578637574,6.84906628263346
"98","Air Charter, Inc d/b/a Air Flamenco",2015,8,9585,5188,1042,14857,2015-08-01,8.55429627936774,9.16805897971958,9.60629371971175,6.94985645500077
"99","Air Charter, Inc d/b/a Air Flamenco",2015,9,9630,3965,1122,13896,2015-09-01,8.28551330907974,9.17274234156086,9.53942826848658,7.02375895473844
"100","Air Charter, Inc d/b/a Air Flamenco",2015,10,8127,3876,1134,13330,2015-10-01,8.26281693767093,9.00307016981826,9.49784742911368,7.0343879299155
"101","Air Charter, Inc d/b/a Air Flamenco",2015,11,8712,4720,1042,15022,2015-11-01,8.45977592054629,9.07257144223129,9.61733763906242,6.94985645500077
